2014-11-29 00h
change#	band	TX#
1	10	0
2	15	1
3	10	0
4	15	1
5	10	0
6	15	1
7	10	0
8	15	1
9	10	0
10	15	1
11	10	0
12	15	1
13	10	0
14	15	1
15	10	0
16	15	1
17	10	0
18	15	1
19	10	0
20	15	1
21	10	0
22	15	1
23	10	0
24	15	1
25	10	0
26	15	1
27	10	0
28	15	1
29	10	0
30	15	1
31	10	0
32	15	1
33	10	0
34	15	1
35	10	0
36	15	1
37	10	0
38	15	1
39	10	0
40	15	1
41	10	0
42	15	1
43	10	0
44	15	1
45	10	0
46	15	1
47	10	0
48	15	1
49	10	0
50	15	1
51	10	0
52	15	1
53	10	0
54	15	1
55	10	0

2014-11-29 01h
change#	band	TX#
1	15	1
2	10	0
3	15	1
4	10	0
5	15	1
6	10	0
7	15	1
8	10	0
9	15	1
10	10	0
11	15	1
12	10	0
13	15	1
14	10	0
15	15	1
16	10	0
17	15	1
18	10	0
19	15	1
20	10	0
21	15	1
22	10	0
23	15	1
24	10	0
25	15	1
26	10	0
27	15	1
28	10	0
29	15	1
30	10	0
31	15	1
32	10	0
33	15	1
34	10	0
35	15	1
36	10	0
37	15	1
38	10	0
39	15	1

2014-11-29 02h
change#	band	TX#
1	15	1
2	10	0
3	15	1
4	20	0
5	15	1
6	20	0
7	15	1
8	20	0
9	15	1
10	20	0
11	15	1
12	20	0
13	15	1

2014-11-29 03h
change#	band	TX#
1	15	1

2014-11-29 04h
change#	band	TX#
1	15	1
2	20	0
3	15	1
4	20	0
5	15	1
6	20	0
7	15	1
8	20	0
9	15	1
10	20	0
11	15	1
12	20	0

2014-11-29 05h
change#	band	TX#
1	20	0
2	15	1
3	20	0
4	15	1
5	20	0
6	15	1
7	20	0
8	15	1
9	10	0
10	15	1
11	10	0
12	15	1
13	10	0
14	15	1
15	10	0

2014-11-29 06h
change#	band	TX#
1	10	0
2	15	1
3	10	0
4	15	1
5	10	0
6	15	1
7	10	0
8	15	1
9	10	0
10	15	1
11	10	0
12	15	1
13	10	0
14	15	1
15	10	0
16	15	1
17	10	0
18	15	1
19	10	0
20	15	1
21	10	0

2014-11-29 07h
change#	band	TX#
1	10	0
2	15	1
3	10	0
4	15	1
5	10	0
6	15	1
7	10	0
8	15	1
9	10	0
10	15	1
11	10	0
12	15	1
13	10	0
14	15	1
15	10	0
16	15	1
17	10	0
18	15	1
19	10	0
20	15	1
21	10	0
22	15	1
23	10	0
24	15	1
25	10	0
26	15	1
27	10	0
28	15	1
29	10	0
30	15	1
31	10	0

2014-11-29 08h
change#	band	TX#
1	10	0
2	15	1
3	10	0
4	40	1
5	10	0
6	40	1
7	10	0
8	40	1
9	10	0
10	40	1
11	10	0
12	40	1
13	10	0
14	40	1
15	10	0
16	40	1
17	10	0
18	40	1

2014-11-29 09h
change#	band	TX#
1	10	0
2	40	1
3	10	0
4	40	1
5	10	0
6	40	1
7	80	0
8	40	1
9	80	0
10	40	1
11	80	0
12	40	1
13	80	0
14	40	1
15	80	0
16	40	1
17	80	0
18	40	1

2014-11-29 10h
change#	band	TX#
1	40	1
2	80	0
3	40	1
4	80	0
5	40	1
6	80	0
7	40	1
8	80	0
9	40	1
10	80	0
11	40	1

2014-11-29 11h
change#	band	TX#
1	40	1
2	80	0
3	40	1
4	80	0
5	40	1
6	80	0
7	40	1
8	160	0

2014-11-29 12h
change#	band	TX#
1	40	1
2	160	0
3	40	1
4	160	0
5	40	1
6	80	0
7	40	1

2014-11-29 13h
change#	band	TX#
1	40	1
2	20	0
3	40	1
4	20	0
5	40	1
6	20	0
7	40	1
8	20	0

2014-11-29 14h
change#	band	TX#
1	40	1
2	20	0
3	40	1
4	20	0
5	80	1
6	20	0
7	80	1
8	20	0
9	80	1
10	20	0
11	80	1
12	20	0

2014-11-29 15h
change#	band	TX#
1	20	0
2	80	1
3	20	0
4	80	1
5	20	0
6	80	1
7	20	0

2014-11-29 16h
change#	band	TX#
1	20	0
2	80	1
3	20	0
4	80	1
5	20	0
6	80	1
7	20	0
8	80	1
9	20	0
10	80	1
11	20	0

2014-11-29 17h
change#	band	TX#
1	20	0
2	80	1
3	20	0
4	80	1
5	40	0
6	80	1
7	40	0
8	80	1
9	40	0
10	80	1
11	40	0

